Devices;Servers;Tech;ExeTime;DCovered;DServed;DServedEC;DServedCC;SUsed;SUsedEC;SUsedCC;TotalCost;CostNCoverage;CostNService;CostS;Avg.RTime
300;105;4;0.000042;94.3333;57.3333;69.1860;30.8140;72.3810;71.0000;100.0000;886.451660;107.500000;778.700000;0.251660;156.132130
300;105;4;0.000022;94.3333;56.6667;75.8824;24.1176;69.5238;68.0000;100.0000;920.447780;107.500000;812.700000;0.247780;144.401050
300;105;4;0.000020;94.3333;56.0000;73.2143;26.7857;71.4286;70.0000;100.0000;935.049720;107.500000;827.300000;0.249720;148.539876
300;105;4;0.000021;94.3333;56.0000;67.8571;32.1429;68.5714;67.0000;100.0000;947.246980;107.500000;839.500000;0.246980;154.883441
300;105;4;0.000064;94.3333;53.3333;72.5000;27.5000;69.5238;68.0000;100.0000;953.047340;107.500000;845.300000;0.247340;154.582852
300;105;4;0.000026;94.3333;56.3333;74.5562;25.4438;71.4286;70.0000;100.0000;938.150140;107.500000;830.400000;0.250140;147.770142
300;105;4;0.000020;94.3333;56.0000;68.4524;31.5476;67.6190;66.0000;100.0000;928.244870;107.500000;820.500000;0.244870;154.661009
300;105;4;0.000020;94.3333;56.3333;73.3728;26.6272;74.2857;73.0000;100.0000;932.151830;107.500000;824.400000;0.251830;148.644688
300;105;4;0.000020;94.3333;55.6667;70.0599;29.9401;68.5714;67.0000;100.0000;926.145560;107.500000;818.400000;0.245560;155.596926
300;105;4;0.000020;94.3333;59.0000;72.3164;27.6836;71.4286;70.0000;100.0000;857.949270;107.500000;750.200000;0.249270;151.933463
300;105;4;0.000021;94.3333;60.3333;67.9558;32.0442;68.5714;67.0000;100.0000;848.146720;107.500000;740.400000;0.246720;157.507147
300;105;4;0.000021;94.3333;57.3333;70.9302;29.0698;72.3810;71.0000;100.0000;893.449890;107.500000;785.700000;0.249890;154.645266
300;105;4;0.000020;94.3333;54.3333;76.0736;23.9264;68.5714;67.0000;100.0000;984.346740;107.500000;876.600000;0.246740;143.809353
300;105;4;0.000020;94.3333;55.0000;75.7576;24.2424;70.4762;69.0000;100.0000;965.348850;107.500000;857.600000;0.248850;144.694933
300;105;4;0.000020;94.3333;56.0000;73.8095;26.1905;71.4286;70.0000;100.0000;968.049520;107.500000;860.300000;0.249520;144.459482
300;105;4;0.000020;94.3333;57.3333;72.6744;27.3256;65.7143;64.0000;100.0000;925.643640;107.500000;817.900000;0.243640;147.849406
300;105;4;0.000021;94.3333;58.0000;69.5402;30.4598;69.5238;68.0000;100.0000;916.047940;107.500000;808.300000;0.247940;150.518909
300;105;4;0.000021;94.3333;56.3333;68.6391;31.3609;63.8095;62.0000;100.0000;917.740720;107.500000;810.000000;0.240720;157.842439
300;105;4;0.000020;94.3333;55.0000;72.1212;27.8788;67.6190;66.0000;100.0000;953.746160;107.500000;846.000000;0.246160;150.329474
300;105;4;0.000021;94.3333;56.0000;67.8571;32.1429;66.6667;65.0000;100.0000;918.045030;107.500000;810.300000;0.245030;157.802396
300;105;4;0.000019;94.3333;53.3333;73.1250;26.8750;69.5238;68.0000;100.0000;1002.846760;107.500000;895.100000;0.246760;148.166801
300;105;4;0.000020;94.3333;56.3333;76.9231;23.0769;74.2857;73.0000;100.0000;930.355760;107.500000;822.600000;0.255760;144.537255
300;105;4;0.000021;94.3333;59.6667;71.5084;28.4916;71.4286;70.0000;100.0000;851.150790;107.500000;743.400000;0.250790;153.141241
300;105;4;0.000021;94.3333;56.6667;73.5294;26.4706;72.3810;71.0000;100.0000;902.653970;107.500000;794.900000;0.253970;152.572242
300;105;4;0.000020;94.3333;54.3333;76.6871;23.3129;75.2381;74.0000;100.0000;978.354210;107.500000;870.600000;0.254210;143.504544
300;105;4;0.000021;94.3333;59.6667;68.7151;31.2849;73.3333;72.0000;100.0000;859.951630;107.500000;752.200000;0.251630;153.652185
300;105;4;0.000020;94.3333;56.3333;72.7811;27.2189;72.3810;71.0000;100.0000;940.550550;107.500000;832.800000;0.250550;148.022183
300;105;4;0.000020;94.3333;57.0000;69.5906;30.4094;71.4286;70.0000;100.0000;914.349460;107.500000;806.600000;0.249460;152.074702
300;105;4;0.000019;94.3333;53.0000;72.9560;27.0440;72.3810;71.0000;100.0000;987.150520;107.500000;879.400000;0.250520;151.832935
300;105;4;0.000018;94.3333;50.6667;72.3684;27.6316;71.4286;70.0000;100.0000;1041.248540;107.500000;933.500000;0.248540;149.115700
300;105;4;0.000020;94.3333;56.0000;69.6429;30.3571;70.4762;69.0000;100.0000;918.849010;107.500000;811.100000;0.249010;155.313503
300;105;4;0.000019;94.3333;53.3333;77.5000;22.5000;69.5238;68.0000;100.0000;987.247340;107.500000;879.500000;0.247340;143.367036
300;105;4;0.000020;94.3333;57.3333;72.0930;27.9070;72.3810;71.0000;100.0000;900.251230;107.500000;792.500000;0.251230;152.485433
300;105;4;0.000019;94.3333;54.6667;70.7317;29.2683;71.4286;70.0000;100.0000;953.649290;107.500000;845.900000;0.249290;152.630448
300;105;4;0.000019;94.3333;53.6667;77.0186;22.9814;69.5238;68.0000;100.0000;990.346600;107.500000;882.600000;0.246600;144.459769
300;105;4;0.000020;94.3333;57.3333;73.8372;26.1628;70.4762;69.0000;100.0000;906.248850;107.500000;798.500000;0.248850;148.112516
300;105;4;0.000019;94.3333;57.3333;75.0000;25.0000;69.5238;68.0000;100.0000;914.248080;107.500000;806.500000;0.248080;146.335863
300;105;4;0.000019;94.3333;53.3333;76.2500;23.7500;70.4762;69.0000;100.0000;986.049260;107.500000;878.300000;0.249260;146.104575
300;105;4;0.000019;94.3333;55.0000;67.8788;32.1212;66.6667;65.0000;100.0000;942.343220;107.500000;834.600000;0.243220;155.913245
300;105;4;0.000033;94.3333;59.0000;73.4463;26.5537;74.2857;73.0000;100.0000;871.554310;107.500000;763.800000;0.254310;149.717250
