Devices;Servers;Tech;ExeTime;DCovered;DServed;DServedEC;DServedCC;SUsed;SUsedEC;SUsedCC;TotalCost;CostNCoverage;CostNService;CostS;Avg.RTime;Temperature;Alpha;Heuristic
500;105;4;0.216731;92.2000;62.2000;69.7749;30.2251;89.5238;89.0000;100.0000;1389.772220;256.300000;1133.200000;0.272220;152.385850;100.000000;0.950000;Random
500;105;4;0.204099;92.2000;62.6000;68.6901;31.3099;88.5714;88.0000;100.0000;1370.171490;256.300000;1113.600000;0.271490;154.295041;100.000000;0.950000;Random
500;105;4;0.208291;92.2000;62.6000;69.6486;30.3514;90.4762;90.0000;100.0000;1375.773870;256.300000;1119.200000;0.273870;151.881549;100.000000;0.950000;Random
500;105;4;0.214201;92.2000;62.8000;70.7006;29.2994;89.5238;89.0000;100.0000;1369.072340;256.300000;1112.500000;0.272340;150.558462;100.000000;0.950000;Random
500;105;4;0.203013;92.2000;62.6000;70.6070;29.3930;91.4286;91.0000;100.0000;1368.374840;256.300000;1111.800000;0.274840;150.317733;100.000000;0.950000;Random
500;105;4;0.205128;92.2000;62.6000;68.3706;31.6294;91.4286;91.0000;100.0000;1377.774720;256.300000;1121.200000;0.274720;153.046772;100.000000;0.950000;Random
500;105;4;0.216740;92.2000;62.4000;70.1923;29.8077;92.3810;92.0000;100.0000;1368.875690;256.300000;1112.300000;0.275690;151.619332;100.000000;0.950000;Random
500;105;4;0.206324;92.2000;62.0000;68.0645;31.9355;89.5238;89.0000;100.0000;1396.073020;256.300000;1139.500000;0.273020;152.555368;100.000000;0.950000;Random
500;105;4;0.223200;92.2000;62.4000;68.9103;31.0897;90.4762;90.0000;100.0000;1384.673190;256.300000;1128.100000;0.273190;153.794033;100.000000;0.950000;Random
500;105;4;0.205681;92.2000;62.8000;70.0637;29.9363;89.5238;89.0000;100.0000;1369.472340;256.300000;1112.900000;0.272340;149.868775;100.000000;0.950000;Random
500;105;4;0.209168;92.2000;62.6000;69.3291;30.6709;92.3810;92.0000;100.0000;1376.575010;256.300000;1120.000000;0.275010;151.344479;100.000000;0.950000;Random
500;105;4;0.202274;92.2000;62.8000;69.4268;30.5732;93.3333;93.0000;100.0000;1366.276540;256.300000;1109.700000;0.276540;153.735105;100.000000;0.950000;Random
500;105;4;0.208909;92.2000;62.4000;69.2308;30.7692;91.4286;91.0000;100.0000;1377.874720;256.300000;1121.300000;0.274720;153.005079;100.000000;0.950000;Random
500;105;4;0.211249;92.2000;62.6000;68.3706;31.6294;88.5714;88.0000;100.0000;1377.772290;256.300000;1121.200000;0.272290;151.526801;100.000000;0.950000;Random
